emotion,avg_ear,avg_yaw,avg_pitch,avg_roll,left_gaze_ratio,right_gaze_ratio,center_gaze_ratio,cognitive_load,deception_risk,blink_rate,gaze_stability,movement_score,Unnamed: 13,emotion_score,stress_score
neutral,0.2232198654968276,0.0182270234690424,1.307533789749249,-0.100624047,0.0,0,1.0,LOW,LOW,30.53560269006345,1.0,1.941424740250165,,0.5,0.5
neutral,0.1891111450131893,0.7673594130787635,1.1626108514291458,-0.10126829,0.0,0,1.0,LOW,LOW,31.21777709973621,1.0,2.033711611419668,,0.5,0.5
neutral,0.2137060632766379,-0.459956902,1.5489625978703887,-0.088846846,0.0,0,1.0,LOW,LOW,30.725878734467244,1.0,2.1055671275494423,,0.5,0.5
neutral,0.2110782559658005,-0.063529175,1.2893186305888724,-0.099296834,0.0,0,1.0,LOW,LOW,30.778434880683992,1.0,1.7594976142625454,,0.5,0.5
calm,0.1896693887018949,-0.347419054,1.5459982187352188,-0.062316755,0.0,0,1.0,LOW,LOW,31.20661223,1.0,2.101588532569917,,0.5,0.5
calm,0.2061924291176411,-0.008478888,1.1866524710568451,-0.08172477,0.0,0,1.0,LOW,LOW,30.87615141764718,1.0,1.4351882145150054,,0.5,0.5
calm,0.1956085285144652,-0.165667235,0.6346120982464915,-0.064995878,0.0,0,1.0,LOW,LOW,31.08782942971069,1.0,1.038395073285459,,0.5,0.5
calm,0.2152988094780571,-0.898497302,1.4100451075318712,-0.073188267,0.0,0,1.0,LOW,LOW,30.694023810438857,1.0,2.4062801381939467,,0.5,0.5
calm,0.1640480483397031,0.3273951960604552,2.2818784299330974,-0.088485735,0.0,0,1.0,LOW,LOW,31.719039033205934,1.0,2.8707653825873085,,0.5,0.5
calm,0.1947420074743693,0.4071411888252136,0.8242003616953066,-0.079530937,0.0,0,1.0,LOW,LOW,31.105159850512614,1.0,1.4145359118316512,,0.5,0.5
calm,0.1941140716619714,0.1409165749588291,1.0894095363481393,-0.06982601,0.0,0,1.0,LOW,LOW,31.11771856676057,1.0,1.4601794959441723,,0.5,0.5
calm,0.1642230761642188,0.337659139,1.079754101511098,-0.077143603,0.0,0,1.0,LOW,LOW,31.715538476715626,1.0,1.6359996660631124,,0.5,0.5
