emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,timestamp
neutral,0.89,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.91,0.89,STABLE,0,0,CENTER,1.0,0,"{'yaw': -8.21, 'pitch': 17.56, 'roll': -0.2}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,3.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-05 18:42:17
neutral,0.89,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.89,STABLE,0,0,CENTER,1.0,0,"{'yaw': -8.53, 'pitch': 15.08, 'roll': -0.18}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,3.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-05 18:42:17
neutral,0.98,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.91,0.98,STABLE,0,0,CENTER,1.0,0,"{'yaw': -8.31, 'pitch': 15.64, 'roll': -0.22}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,3.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-05 18:42:17
neutral,0.98,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.89,0.98,STABLE,0,0,CENTER,1.0,0,"{'yaw': -8.66, 'pitch': 15.59, 'roll': -0.21}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,3.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-05 18:42:18
neutral,0.97,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.97,STABLE,1,1.61,CENTER,1.0,0,"{'yaw': -9.85, 'pitch': 14.61, 'roll': -0.2}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,4.1,0.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.8}",Stable emotional condition,2026-07-05 18:42:18
neutral,0.93,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.93,STABLE,1,1.86,CENTER,1.0,0,"{'yaw': -8.7, 'pitch': 13.18, 'roll': -0.21}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,4.3,0.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.9}",Stable emotional condition,2026-07-05 18:42:18
neutral,0.95,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.95,STABLE,1,3.2,CENTER,1.0,0,"{'yaw': -6.33, 'pitch': 10.0, 'roll': -0.16}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,4.9,1.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 1.6}",Stable emotional condition,2026-07-05 18:42:19
neutral,0.96,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.96,STABLE,1,4.63,CENTER,1.0,0,"{'yaw': -3.17, 'pitch': 9.45, 'roll': -0.15}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,5.6,1.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 2.3}",Stable emotional condition,2026-07-05 18:42:19
neutral,0.84,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.84,STABLE,1,5.25,CENTER,1.0,0,"{'yaw': -2.18, 'pitch': 10.78, 'roll': -0.15}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,6.0,1.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 2.6}",Stable emotional condition,2026-07-05 18:42:19
neutral,0.97,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.74,0.97,STABLE,1,6.25,CENTER,1.0,0,"{'yaw': 0.79, 'pitch': 9.33, 'roll': -0.12}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,6.5,2.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 3.1}",Stable emotional condition,2026-07-05 18:42:20
