emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,timestamp
sad,0.46,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.46,STABLE,0,0,CENTER,1.0,0,"{'yaw': -0.83, 'pitch': 0.94, 'roll': -0.11}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,15.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-07 16:53:00
neutral,0.62,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.62,STABLE,0,0,CENTER,1.0,0,"{'yaw': 2.73, 'pitch': 1.53, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,3.0,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-07 16:53:01
fear,0.89,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.89,STABLE,0,0,CENTER,1.0,0,"{'yaw': 2.25, 'pitch': 2.05, 'roll': -0.09}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,15.0,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Negative emotional state,2026-07-07 16:53:02
neutral,0.37,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.37,STABLE,0,0,CENTER,1.0,0,"{'yaw': 2.06, 'pitch': 2.41, 'roll': -0.07}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,3.0,11.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-07 16:53:02
neutral,0.56,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.56,STABLE,1,2.7,CENTER,1.0,0,"{'yaw': -2.92, 'pitch': 1.66, 'roll': -0.09}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,4.7,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 1.4}",Stable emotional condition,2026-07-07 16:53:03
fear,0.4,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.4,STABLE,1,2.54,CENTER,1.0,0,"{'yaw': -0.73, 'pitch': 1.7, 'roll': -0.06}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,16.6,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.0, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Negative emotional state,2026-07-07 16:53:04
neutral,1.0,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,1.0,1.0,STABLE,1,2.37,CENTER,1.0,0,"{'yaw': 0.25, 'pitch': 1.33, 'roll': -0.06}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,4.5,13.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.5, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 16:53:05
fear,0.5,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.5,STABLE,1,2.3,CENTER,1.0,0,"{'yaw': -0.1, 'pitch': 0.87, 'roll': -0.07}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,16.5,13.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.9, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 16:53:05
fear,0.94,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.94,STABLE,1,2.57,CENTER,1.0,0,"{'yaw': 3.77, 'pitch': 2.47, 'roll': -0.1}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,16.6,13.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Negative emotional state,2026-07-07 16:53:06
fear,0.75,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.88,0.525,FLUCTUATING,1,3.02,CENTER,1.0,0,"{'yaw': 5.1, 'pitch': 3.18, 'roll': -0.09}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,16.8,12.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 1.5}",Negative emotional state,2026-07-07 16:53:17
