emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,video_quality,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,response_latency,pause_ratio,speech_rate,voiced_ratio,mean_pause,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,modality_weights,quality_warning,fused_emotion,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,0.0,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 0.5, 'audio': 0.5}",True,unknown,2026-07-08 21:55:17
happy,happy,LOW,Stable emotional condition,0.82,0.232,0,0.242,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:20
happy,happy,LOW,Stable emotional condition,0.82,0.232,0,0.242,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:20
happy,happy,LOW,Stable emotional condition,0.82,0.243,1,0.243,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.3,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:21
happy,happy,LOW,Stable emotional condition,0.82,0.243,1,0.243,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.3,LOW,LOW,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:21
happy,happy,LOW,Stable emotional condition,0.82,0.238,1,0.245,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.7,LOW,LOW,4.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 0.4}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:22
happy,happy,LOW,Stable emotional condition,0.82,0.24,1,0.247,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.7,LOW,LOW,3.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.5, 'eye_avoidance': 0.0, 'head_movement': 0.4}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:22
happy,happy,LOW,Stable emotional condition,0.82,0.197,1,0.243,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.7,LOW,LOW,3.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.0, 'head_movement': 0.3}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:22
happy,happy,LOW,Stable emotional condition,0.82,0.196,1,0.242,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.7,LOW,LOW,2.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.9, 'eye_avoidance': 0.0, 'head_movement': 0.3}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,happy,2026-07-08 21:55:23
happy,happy,LOW,Stable emotional condition,0.82,0.165,1,0.24,fear,0.21666666666666667,MEDIUM,0.3733,0.1209,0.833,0.0,0.4573,2.3504,0.5427,0.222,False,LOW,0.282,13.1,LOW,LOW,8.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 1.7, 'eye_avoidance': 0.0, 'head_movement': 0.3}",STABLE,"{'visual': 0.566, 'audio': 0.434}",False,happy,2026-07-08 21:55:33
