emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,video_quality,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,response_latency,pause_ratio,speech_rate,voiced_ratio,mean_pause,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,modality_weights,quality_warning,fused_emotion,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,0.0,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 0.5, 'audio': 0.5}",True,unknown,2026-07-08 20:34:29
happy,happy,LOW,Stable emotional condition,0.94,0.468,0,0.468,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,happy,2026-07-08 20:34:32
happy,happy,LOW,Stable emotional condition,1.0,0.478,0,0.478,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,happy,2026-07-08 20:34:33
fear,fear,LOW,Negative emotional state,0.82,0.287,1,0.47,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.3,LOW,LOW,8.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,fear,2026-07-08 20:34:33
fear,fear,LOW,Negative emotional state,1.0,0.3,1,0.491,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.3,LOW,LOW,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,fear,2026-07-08 20:34:33
happy,happy,LOW,Stable emotional condition,0.76,0.341,1,0.48,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,2.2,LOW,LOW,9.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,happy,2026-07-08 20:34:34
happy,happy,LOW,Stable emotional condition,0.77,0.345,1,0.486,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,2.2,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,happy,2026-07-08 20:34:34
fear,fear,LOW,Negative emotional state,0.77,0.463,1,0.468,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,17.1,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.6, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,fear,2026-07-08 20:34:35
fear,fear,LOW,Negative emotional state,0.83,0.482,1,0.487,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,17.2,LOW,LOW,9.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,fear,2026-07-08 20:34:35
neutral,neutral,LOW,Stable emotional condition,0.83,0.275,1,0.473,fear,0.26666666666666666,MEDIUM,0.36,0.1535,0.874,0.0,0.0,0.3358,1.0,0.0,False,LOW,0.2,17.6,LOW,LOW,15.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,"{'visual': 0.627, 'audio': 0.373}",False,neutral,2026-07-08 20:34:46
neutral,neutral,LOW,Stable emotional condition,0.83,0.275,1,0.474,fear,0.26666666666666666,MEDIUM,0.36,0.1535,0.874,0.0,0.0,0.3358,1.0,0.0,False,LOW,0.199,17.7,LOW,LOW,19.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,"{'visual': 0.628, 'audio': 0.372}",False,neutral,2026-07-08 20:34:48
fear,fear,LOW,Negative emotional state,0.83,0.458,1,0.482,fear,0.26666666666666666,MEDIUM,0.36,0.1535,0.874,0.0,0.0,0.3358,1.0,0.0,True,LOW,0.197,29.6,LOW,LOW,21.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 8.2, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,"{'visual': 0.674, 'audio': 0.326}",False,fear,2026-07-08 20:34:48
fear,fear,LOW,Negative emotional state,0.77,0.45,1,0.467,fear,0.26666666666666666,MEDIUM,0.36,0.1535,0.874,0.0,0.0,0.3358,1.0,0.0,True,LOW,0.201,29.6,LOW,LOW,22.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,"{'visual': 0.667, 'audio': 0.333}",False,fear,2026-07-08 20:34:49
