emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,video_quality,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,response_latency,pause_ratio,speech_rate,voiced_ratio,mean_pause,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,modality_weights,quality_warning,fused_emotion,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,0.0,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 0.5, 'audio': 0.5}",True,unknown,2026-07-09 10:13:19
neutral,neutral,LOW,Stable emotional condition,0.82,0.308,0,0.411,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,3.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:21
neutral,neutral,LOW,Stable emotional condition,0.82,0.368,1,0.491,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,3.3,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:21
neutral,neutral,LOW,Stable emotional condition,0.89,0.508,1,0.513,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,3.3,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:21
neutral,neutral,LOW,Stable emotional condition,0.9,0.485,1,0.49,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,3.3,LOW,LOW,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:22
neutral,neutral,LOW,Stable emotional condition,0.67,0.384,1,0.486,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,6.3,LOW,LOW,5.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 3.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:22
neutral,neutral,LOW,Stable emotional condition,0.67,0.397,2,0.503,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,6.5,LOW,LOW,5.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.5, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:22
neutral,neutral,LOW,Stable emotional condition,0.67,0.197,2,0.48,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,6.3,LOW,LOW,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.0, 'head_movement': 2.6}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:22
neutral,neutral,LOW,Stable emotional condition,0.67,0.193,2,0.47,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,6.3,LOW,LOW,4.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.9, 'eye_avoidance': 0.0, 'head_movement': 2.6}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 10:13:23
neutral,neutral,LOW,Stable emotional condition,0.67,0.305,2,0.474,fear,0.2866666666666667,MEDIUM,0.42,0.0293,0.587,1.3769,0.8392,1.3431,0.1608,0.6248,False,LOW,0.171,18.9,LOW,LOW,10.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 1.7, 'eye_avoidance': 0.0, 'head_movement': 2.7}",STABLE,"{'visual': 0.722, 'audio': 0.278}",False,neutral,2026-07-09 10:13:30
