emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,video_quality,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,response_latency,pause_ratio,speech_rate,voiced_ratio,mean_pause,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,modality_weights,quality_warning,fused_emotion,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,0.0,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 0.5, 'audio': 0.5}",True,unknown,2026-07-08 19:11:53
fear,fear,LOW,Negative emotional state,0.82,0.28,1,0.529,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.3,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,fear,2026-07-08 19:11:55
fear,fear,LOW,Negative emotional state,1.0,0.277,1,0.522,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.3,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,fear,2026-07-08 19:11:55
sad,sad,LOW,Stable emotional condition,1.0,0.51,1,0.515,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.3,LOW,LOW,8.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 19:11:56
sad,sad,LOW,Stable emotional condition,0.89,0.528,1,0.533,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.3,LOW,LOW,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 19:11:56
sad,sad,LOW,Stable emotional condition,0.93,0.536,1,0.536,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,16.5,LOW,LOW,7.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 1.1}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 19:11:57
sad,sad,LOW,Stable emotional condition,0.91,0.536,1,0.536,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,16.5,LOW,LOW,6.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 1.1}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 19:11:57
sad,sad,LOW,Stable emotional condition,0.93,0.487,1,0.535,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,16.4,LOW,LOW,6.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.3, 'eye_avoidance': 0.0, 'head_movement': 1.1}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 19:11:57
sad,sad,LOW,Stable emotional condition,0.94,0.487,1,0.535,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,16.4,LOW,LOW,5.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 1.1}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 19:11:58
sad,sad,LOW,Stable emotional condition,0.93,0.365,1,0.537,angry,0.24666666666666667,MEDIUM,0.4833,0.1475,0.868,0.0,0.3367,2.3504,0.6633,0.1646,False,LOW,0.219,28.9,LOW,LOW,11.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 3.3, 'eye_avoidance': 0.0, 'head_movement': 1.0}",FLUCTUATING,"{'visual': 0.709, 'audio': 0.291}",False,sad,2026-07-08 19:12:07
